CLUSTER,response,count,raw_prev_rate,urban,age_1524,age_65up,female,sindh,kpk,dirtyfuel_2011,underweight_2012,pak_bsgmi_v0a_100m_2011,asin_bsgmi,LONGITUDE,LATITUDE
17,5,1123,0.004452359750667854,No,0.3072128227960819,0.08103294746215495,0.5654496883348175,0.0,0.0,0.132663269290014,0.0595777940742879,0.0425185183684031,0.20769009787211298,74.11955134278331,31.78571404986728
18,7,1047,0.0066857688634192934,No,0.25787965616045844,0.09933142311365807,0.565425023877746,0.0,0.0,0.916035874002548,0.11965398770893902,0.0057750759833127205,0.0760672565551294,71.86360222035914,32.25407032356884
19,7,1181,0.0059271803556308214,Yes,0.29974597798475866,0.12531752751905165,0.45893310753598643,0.0,0.0,0.79698971093526,0.157373677997199,0.0250450449047593,0.15892441053681697,71.78412473570344,30.70839851566641
20,2,1093,0.0018298261665141812,Yes,0.30558096980786825,0.06404391582799634,0.5086916742909423,0.0,0.0,0.705741086420394,0.11685252293955099,0.0615555553248635,0.25072248613554,72.33290481076118,31.35861754392139
21,2,1230,0.0016260162601626016,Yes,0.3105691056910569,0.08617886178861789,0.5699186991869919,0.0,0.0,0.37095008697660103,0.0700650604398208,0.00666666653539453,0.0817406523790037,72.80775827447364,31.696400228627567
22,2,1073,0.001863932898415657,No,0.3084808946877912,0.11090400745573159,0.587138863000932,0.0,0.0,0.682437790421539,0.120446582795239,0.0266666663945585,0.164033940178482,73.1158954006098,31.130580801300425
23,0,1094,0.0,Yes,0.36288848263254114,0.051188299817184646,0.5493601462522852,0.0,0.0,0.357112342446099,0.100843270527994,0.41583496975494705,0.700830508470045,73.07544930265234,31.379601829436325
24,5,1114,0.004488330341113106,Yes,0.3240574506283663,0.09066427289048475,0.5691202872531418,0.0,0.0,0.27151250183915304,0.090809893685905,0.764952379181271,1.06464229125754,73.1062170639188,31.459796279845552
25,2,1127,0.001774622892635315,Yes,0.3132209405501331,0.09760425909494233,0.5998225377107365,0.0,0.0,0.698120874410345,0.11761510059675999,0.030701754255252997,0.176128368208257,72.99688645038373,31.11280851012673
26,0,1174,0.0,No,0.3143100511073254,0.09965928449744463,0.5417376490630323,0.0,0.0,0.598994572043328,0.11513527808489399,0.0337254901727041,0.18469325214560103,72.76885152096641,31.27935038058477
27,1,1118,0.0008944543828264759,Yes,0.3550983899821109,0.024150268336314847,0.47048300536672627,0.0,0.0,0.24059461013960498,0.0568247940526906,0.8591304278892021,1.18604791373126,74.42219595859483,31.55733305272973
28,1,1060,0.0009433962264150943,No,0.3273584905660377,0.08773584905660377,0.5679245283018868,0.0,0.0,0.437311542874229,0.0954677554350419,0.0199696507208807,0.14178862401036701,73.94136280256173,31.44737628943521
29,0,1069,0.0,Yes,0.3498596819457437,0.07296538821328344,0.5612722170252572,0.0,0.0,0.749710608101433,0.111538970168485,0.00990476168337322,0.0996876971968324,74.29081452217805,31.09588374108428
30,2,1113,0.0017969451931716084,Yes,0.3387241689128482,0.07277628032345014,0.5381850853548967,0.0,0.0,0.807332391637211,0.128649416414056,0.0259793813618803,0.161887391983028,74.06133232535893,30.923164303459156
31,5,1202,0.004159733777038269,No,0.29367720465890185,0.07570715474209651,0.4384359400998336,0.0,0.0,0.7945018929698929,0.149883605926796,0.0171698111127008,0.131411523456934,73.65680296859982,30.39800107204605
32,6,1212,0.0049504950495049506,No,0.36056105610561057,0.08828382838283828,0.5437293729372937,0.0,0.0,0.7800713768608231,0.132818368454974,0.0254304632051102,0.160153067785218,73.30076389245198,30.89262645574817
33,4,1178,0.003395585738539898,No,0.3030560271646859,0.06706281833616298,0.5560271646859083,0.0,0.0,0.7429114610275022,0.146749689447986,0.0174545453014699,0.132503038201864,73.17782106699586,30.522022017246545
34,4,1137,0.003518029903254178,No,0.34300791556728233,0.06420404573438875,0.5329815303430079,0.0,0.0,0.8125303734771819,0.139702069741957,0.0015384615040742401,0.0392332907957307,71.40255623706766,29.477964408145837
35,2,1161,0.0017226528854435831,No,0.32558139534883723,0.07407407407407407,0.5555555555555556,0.0,0.0,0.779349705851859,0.14366988510125198,0.00419672138866831,0.0648275048731327,70.94648599089501,29.280087249726925
36,5,1200,0.004166666666666667,Yes,0.2866666666666667,0.085,0.5158333333333334,0.0,0.0,0.973232442812857,0.16444692518615198,0.0223474174807889,0.150052989138569,72.10344650528812,29.85046813037716
37,3,1179,0.002544529262086514,No,0.3044953350296862,0.08227311280746395,0.48091603053435117,0.0,0.0,0.7994252549431039,0.180587891827202,0.12051172691113399,0.354528247957807,72.5709257584774,29.68772957620635
38,5,1180,0.00423728813559322,Yes,0.3101694915254237,0.03898305084745763,0.5525423728813559,0.0,0.0,0.8137186876518829,0.188098909902775,0.129887640113464,0.368695902158356,72.81865417506182,29.8105417111892
39,1,1150,0.0008695652173913044,Yes,0.32956521739130434,0.04608695652173913,0.551304347826087,0.0,0.0,0.7684166263144789,0.153441108114483,0.0301730100413507,0.17458940560583402,73.32249425453575,30.47136643344159
40,7,1120,0.00625,No,0.26517857142857143,0.08660714285714285,0.4919642857142857,0.0,0.0,0.703236836475274,0.166877481692066,0.019514562851451,0.14015291720907097,72.0230384430429,30.52994320565106
41,7,1098,0.006375227686703097,No,0.2395264116575592,0.07741347905282331,0.6120218579234973,0.0,0.0,0.8322132003185458,0.154362236536086,0.00550458705001468,0.0742611403543558,71.10237389679081,29.628137801946888
42,0,1103,0.0,Yes,0.30099728014505894,0.06618313689936536,0.5557570262919311,0.0,0.0,0.573232722750816,0.15776038154048003,0.0222660099050682,0.149777365862,71.50078655736355,29.880682721158497
43,0,1080,0.0,Yes,0.35555555555555557,0.041666666666666664,0.5981481481481481,0.0,0.0,0.239738809654684,0.16247401720961602,0.403544304208665,0.6883339576588181,71.42025222747725,30.212476911567922
44,0,1119,0.0,Yes,0.3163538873994638,0.07149240393208221,0.5781948168007149,0.0,0.0,0.5235401399483189,0.17747593736092002,0.0290666664391756,0.171326411372444,71.10193273497946,29.954512133359376
45,6,1022,0.005870841487279843,No,0.3287671232876712,0.09001956947162426,0.5851272015655578,0.0,0.0,0.964681205226552,0.149903132918537,0.0155868543682151,0.125173949950584,71.0988524483853,30.8800984125821
46,1,1139,0.000877963125548727,Yes,0.3906935908691835,0.043898156277436345,0.6251097453906936,0.0,0.0,0.702562234379626,0.0936129307081863,0.183921568680043,0.443231321827693,71.5405724312726,32.55907859818542
47,5,1117,0.004476275738585497,Yes,0.39928379588182633,0.04118173679498657,0.5487914055505819,0.0,0.0,0.568426767750303,0.0604604284112961,0.478461542668251,0.76385303929648,72.69534250222381,32.03810627053663
48,2,1130,0.0017699115044247787,No,0.3017699115044248,0.084070796460177,0.5398230088495575,0.0,0.0,0.7192275064646322,0.124252867692526,0.0432198138521183,0.209421174950803,72.82952958737309,30.566019207785807
49,0,1085,0.0,Yes,0.3345622119815668,0.0423963133640553,0.5815668202764976,1.0,0.0,0.0347089927108967,0.0623197189167034,0.975999999046326,1.41525052278333,67.03492452246991,24.927557129808932
50,1,1085,0.0009216589861751152,Yes,0.2967741935483871,0.04608294930875576,0.6331797235023041,1.0,0.0,0.10998868336329902,0.0692778331029262,1.0,1.5707963267949,67.19574529904892,24.896963572380475
51,3,1149,0.0026109660574412533,Yes,0.370757180156658,0.024369016536118365,0.6109660574412533,1.0,0.0,0.24429233879831697,0.150628633175883,0.0213333328564962,0.146583718880699,68.31899104556659,25.434358355447436
52,4,895,0.004469273743016759,Yes,0.32737430167597764,0.021229050279329607,0.659217877094972,1.0,0.0,0.0163527060406055,0.0534019115675355,0.9789473665388009,1.4251870796464399,67.01200205188893,24.846472699513512
53,3,1175,0.002553191489361702,Yes,0.3191489361702128,0.030638297872340424,0.6382978723404256,1.0,0.0,0.7842659304664251,0.26057369731091296,0.26187192054070896,0.537202133928256,69.01121799154657,25.526886492700292
54,3,1131,0.002652519893899204,No,0.18213969938107868,0.05128205128205128,0.5853227232537578,1.0,0.0,0.8112368334973159,0.17994424850347798,0.00413994163100991,0.06438685671622099,68.79641600033816,25.020447626893944
55,0,1124,0.0,Yes,0.33362989323843417,0.036476868327402136,0.6459074733096085,1.0,0.0,0.825162190354553,0.23437073286295604,0.174304634974098,0.4306901940425129,68.35770801390746,26.25046954049152
56,14,1148,0.012195121951219513,No,0.27526132404181186,0.07142857142857142,0.44773519163763065,1.0,0.0,0.9588417140634841,0.24453075598109,0.000645520322078722,0.0254098262242593,67.52329219260497,26.863319281266595
